# Attacker,Defender,Multiplier
Fairy,Dark,1.5
Fairy,Fire,0.75
Fairy,Rock,0.75
Water,Fire,1.5
Water,Rock,1.5
Water,Grass,0.75
Grass,Water,1.5
Grass,Rock,1.5
Grass,Fire,0.75
Electric,Water,1.5
Electric,Grass,0.75
Electric,Rock,0.75
Rock,Fire,1.5
Rock,Ice,1.5
Rock,Grass,0.75
Ghost,Ghost,1.5
Ghost,Psychic,1.5
Ghost,Dark,0.75
Dark,Ghost,1.5
Dark,Psychic,1.5
Dark,Fairy,0.75
Ice,Grass,1.5
Ice,Fairy,0.75
Ice,Fire,0.75
Fire,Grass,1.5
Fire,Ice,1.5
Fire,Water,0.75
Fire,Rock,0.75
Psychic,Fairy,1.25
Psychic,Dark,0.75
Psychic,Ghost,0.75
